# Time-averaged data for fix avg_vals
# TimeStep v_zStrainc v_engsszc v_p3 v_engssyc v_p2 v_engssxc v_p1
352000 0.13575 0.233081 0.0615917 -0.00315604 -0.00142395 0.000133442 6.02925e-05
353000 0.13625 0.207556 0.0548651 0.00124952 0.000565124 0.00189312 0.000861031
354000 0.13675 0.318906 0.0842711 -1.95996e-05 -8.50806e-06 -0.000256599 -0.000116364
355000 0.13725 0.375476 0.0992411 -0.0017335 -0.000777798 -0.00184908 -0.000836076
356000 0.13775 0.359482 0.0950568 0.000626788 0.000284766 0.00441821 0.0020049
357000 0.13825 0.388186 0.102718 0.00198515 0.000896383 -0.00321659 -0.00145554
358000 0.13875 0.456544 0.120763 -0.00131017 -0.000592106 -0.0010697 -0.000486477
359000 0.13925 0.477819 0.126466 0.000808337 0.000364374 0.00093456 0.000423405
360000 0.13975 0.51494 0.136339 -0.0032506 -0.00146093 0.000484629 0.000221952
361000 0.14025 0.557152 0.147392 0.00246884 0.00111474 -0.00150891 -0.000679951
362000 0.14075 0.575166 0.152303 -0.00251678 -0.00113343 0.000738824 0.00033265
363000 0.14125 0.618899 0.163938 2.76374e-05 1.33058e-05 -0.00237853 -0.00107482
364000 0.14175 0.655316 0.173579 0.000568376 0.00025593 0.00244298 0.00110502
365000 0.14225 0.667428 0.176973 8.02566e-05 3.49647e-05 -0.00505514 -0.00228515
366000 0.14275 0.671971 0.178124 -0.00116373 -0.000523411 0.00291023 0.00131361
367000 0.14325 0.787614 0.208822 -0.00193239 -0.000866847 0.00389464 0.00176002
368000 0.14375 0.752353 0.199569 0.00324077 0.00145742 -0.00526508 -0.0023754
369000 0.14425 0.839479 0.222691 -0.00209855 -0.000939401 0.00186572 0.000844848
370000 0.14475 0.876123 0.232431 0.00423949 0.00190006 -0.00295207 -0.00133399
371000 0.14525 0.892201 0.236823 -0.0027981 -0.00125716 0.00391558 0.00176388
372000 0.14575 0.995753 0.264375 0.000308667 0.000137806 -0.00216317 -0.000975478
373000 0.14625 0.97272 0.258254 0.000252098 0.000114651 0.000133517 6.23386e-05
374000 0.14675 1.04913 0.278632 -0.00174164 -0.000780553 -0.00291696 -0.00131317
375000 0.14725 1.09864 0.291957 0.000898283 0.000400897 0.00191747 0.000861303
376000 0.14775 1.12528 0.299104 -0.00116768 -0.000520905 0.000210808 9.71029e-05
377000 0.14825 1.23638 0.328844 -0.00202179 -0.0009078 -0.00260819 -0.00117637
378000 0.14875 1.23869 0.3295 0.00375046 0.00168133 -2.9981e-05 -1.11958e-05
379000 0.14925 1.29317 0.344129 -0.00344443 -0.0015421 0.00341323 0.00153607
